OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length,Lon,Lat,ALARM_DAY,TEMPERATURE_2M_ALARM_DATE_MEAN,PRECIPITATION_ALARM_DATE_SUM,10M_WIND_SPEED_ALARM_DATE_MEAN,10M_WIND_DIRECTION_ALARM_DATE_MEAN,10M_U_COMPONENT_OF_WIND_ALARM_DATE_MEAN,10M_V_COMPONENT_OF_WIND_ALARM_DATE_MEAN
10,2024,CA,USF U.S. Forest Service,BDF,LINE,00012520,2024-09-06T07:00:00Z,2024-12-23T08:00:00Z,Unknown/Unidentified,Infrared (IR),Suppression (Wildfire),43975.61,"Baseline St x Aplin St, north of City of Highland",NA,{4A605BD7-E9EC-42A7-8A86-3BC47A795382},NA,NA,2020-January 2025,260553640.191406,222266.655247546,-117.065266586408,34.1592941936171,2024-09-06,32.09169921875,0,0.8040995219561332,44.02991494966389,-0.155243441462517,-0.160591408610344
100,2024,CA,CDF CAL FIRE (State),RRU,ROUND,00097829,2024-06-29T07:00:00Z,2024-06-30T07:00:00Z,Unknown/Unidentified,Infrared (IR),Suppression (Wildfire),343.6256,NA,NA,{0863D8B3-D4B1-4FA6-BE08-D2812E5DA4C8},NA,NA,2020-January 2025,2024836.72265625,8939.32382887783,-117.089188169719,33.9246809766926,2024-06-29,25.403955078125,0.0180214628926478,4.210601656888962,226.5674266659346,0.849353134632111,0.804108500480652
1000,2022,CA,CDF CAL FIRE (State),MVU,HAUSER,00020267,2022-09-17T07:00:00Z,2022-09-18T07:00:00Z,Unknown/Unidentified,Mixed Methods,Suppression (Wildfire),25.70823,NA,NA,{6529DB77-37F5-4616-961A-B7A2EAC3E7E1},NA,NA,2020-January 2025,147205.88671875,2607.34385463255,-116.536526072222,32.6622162650407,2022-09-17,18.1411682128906,0.0743950440664776,5.071595543167674,246.51832840219063,1.29211235046387,0.561335027217865
10000,1992,CA,CDF CAL FIRE (State),RRU,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),204.5334,NA,NA,NA,00000000,NA,1990-1999,1206925.203125,4443.2062192474,-117.010106905139,33.9851584956131,NA,NA,NA,NA,NA,NA,NA
10001,1992,CA,NPS National Park Service,KNP,SUWANEE W,00000000,1992-10-09T07:00:00Z,1992-10-15T07:00:00Z,Escaped Prescribed Burn,Unknown,Suppression (Wildfire),196.6356,NA,NA,NA,00000095,NA,1990-1999,1236451.8203125,11002.3515439855,-118.786501275059,36.5805640832026,1992-10-09,15.8716369628906,0.00820755667518824,2.556520028957473,65.64530082012139,-0.6469486951828,-0.292852401733398
10002,1992,CA,USF U.S. Forest Service,MDF,CAMP,00000000,1992-06-22T07:00:00Z,1992-06-25T07:00:00Z,Lightning,Unknown,Suppression (Wildfire),195.2968,NA,NA,NA,00000057,NA,1990-1999,1414532.734375,4847.78720852586,-121.381284454844,41.6013802799401,1992-06-22,25.0803771972656,0,6.3010786648574975,53.23682633930787,-1.40219342708588,-1.0475697517395
10003,1992,CA,USF U.S. Forest Service,BDF,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),188.1693,NA,NA,NA,00000000,NA,1990-1999,1115170.3046875,4813.78336886824,-117.211466656986,34.1698279733022,NA,NA,NA,NA,NA,NA,NA
10004,1992,CA,CCO Contract County,LAC,OCEAN,00928984,1992-06-28T07:00:00Z,NA,Unknown/Unidentified,NA,Suppression (Wildfire),172.8256,NA,NA,NA,00000000,NA,1990-1999,1014628.31640625,8744.54940145727,-118.382576097323,33.765263815532,1992-06-28,NA,NA,NA,NA,NA,NA
10005,1992,CA,DOD Department of Defense,AFV,SANTA_YNEZ,00000000,1992-11-02T08:00:00Z,1992-11-02T08:00:00Z,Powerline,Other Imagery,Suppression (Wildfire),150.9385,NA,NA,NA,00000000,NA,1990-1999,904976.921875,4357.32436366232,-120.557107587876,34.6600450878515,1992-11-02,18.609033203125,0.0145569420055836,25.805869029968452,338.3218050295304,2.64791965484619,-6.66130638122559
10006,1992,CA,USF U.S. Forest Service,CNF,BARONA,00000000,1992-08-28T07:00:00Z,1992-08-29T07:00:00Z,Playing with Fire,Unknown,Suppression (Wildfire),150.001,NA,NA,NA,00000065,NA,1990-1999,865294.171875,4784.2028463816,-116.794880980019,32.9942553913524,1992-08-28,25.4099670410156,0,3.823944256932467,293.206496562523,0.976264297962189,-0.418558448553085
