OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length,Lon,Lat,TEMPERATURE_2M_ALARM_DATE
12254,1980,CA,CCO Contract County,ORC,OWL,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),18332.29,NA,NA,NA,00000000,NA,1980-1989,107988857.503906,62893.8217992769,-117.706084398737,33.910587443912,NA
12261,1980,CA,CDF CAL FIRE (State),RRU,LAKELAND,00000000,NA,NA,Miscellaneous,NA,Suppression (Wildfire),7010.857,NA,NA,NA,00001801,NA,1980-1989,41008869.453125,28984.6341959923,-117.379092701191,33.6062118595424,NA
12264,1980,CA,CDF CAL FIRE (State),RRU,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),6211.832,NA,NA,NA,00000000,NA,1980-1989,36558020.7304688,33324.8970297902,-116.639222226938,33.8710262371582,NA
12287,1980,CA,NPS National Park Service,YNP,NA,00000090,NA,NA,Lightning,Other Imagery,Suppression (Wildfire),1637.042,NA,NA,NA,00000090,NA,1980-1989,10686384.0234375,18161.1060552981,-119.781269472766,38.0006044936016,NA
12291,1980,CA,NPS National Park Service,YNP,NA,00000058,NA,NA,Lightning,Other Imagery,Resource Benefit (Wildland Fire Use),1374.507,NA,NA,NA,00000058,NA,1980-1989,8891158.3984375,24663.7151515968,-119.49889576012,37.6613996310678,NA
12298,1980,CA,NPS National Park Service,YNP,NA,00000091,NA,NA,Lightning,Other Imagery,Resource Benefit (Wildland Fire Use),1063.455,NA,NA,NA,00000091,NA,1980-1989,6941842.78125,15926.8817094534,-119.759583828188,37.9992979689829,NA
12301,1980,CA,CDF CAL FIRE (State),RRU,BLUE,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),970.5062,NA,NA,NA,00000000,NA,1980-1989,5709160.62109375,10250.1603800772,-117.00000600757,33.8522537010194,NA
12308,1980,CA,CDF CAL FIRE (State),RRU,TREEMONT,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),838.4724,NA,NA,NA,00000000,NA,1980-1989,4944848.39453125,9302.79477887265,-117.201499416327,33.9602521689159,NA
12309,1980,CA,CDF CAL FIRE (State),RRU,DELL,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),838.3768,NA,NA,NA,00000000,NA,1980-1989,4902181.43359375,9152.13476359273,-117.064900055041,33.5905255251916,NA
12311,1980,CA,USF U.S. Forest Service,BDF,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),835.6931,NA,NA,NA,00000000,NA,1980-1989,4952891.328125,10952.6965369843,-117.221279398431,34.1717361558532,NA
12323,1980,CA,CDF CAL FIRE (State),RRU,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),723.6512,NA,NA,NA,00000000,NA,1980-1989,4223149.5,10799.8900815582,-117.03956246264,33.5058808701211,NA
12324,1980,CA,CDF CAL FIRE (State),RRU,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),719.9838,NA,NA,NA,00000000,NA,1980-1989,4245795.94140625,11801.4422339371,-117.285746017554,33.9575170901817,NA
12331,1980,CA,CDF CAL FIRE (State),RRU,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),602.4171,NA,NA,NA,00000000,NA,1980-1989,3532594.23046875,9136.19537558051,-117.224005713767,33.7151829045084,NA
12335,1980,CA,NPS National Park Service,YNP,NA,00000000,NA,NA,Lightning,NA,Suppression (Wildfire),588.1594,NA,NA,NA,00000099,NA,1980-1989,3805523.36328125,8530.16505808156,-119.563377473675,37.670717238733,NA
12336,1980,CA,CDF CAL FIRE (State),RRU,BLUE,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),549.754,NA,NA,NA,00000000,NA,1980-1989,3240461.6953125,7525.26188404094,-117.064689727075,33.9379578177787,NA
12339,1980,CA,CDF CAL FIRE (State),RRU,TREEMONT,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),536.2252,NA,NA,NA,00000000,NA,1980-1989,3164777.8671875,6803.68580877932,-117.309422410791,33.9930452339772,NA
12342,1980,CA,USF U.S. Forest Service,LNF,NA,00000000,NA,NA,Unknown/Unidentified,NA,Suppression (Wildfire),518.2775,NA,NA,NA,00000003,NA,1980-1989,3719772.69140625,8567.76552966291,-121.629139517159,41.303103683877,NA
