"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
9741,1993,"CA","CDF CAL FIRE (State)","MMU","PG&E #4","00004996",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",9373.211,NA,NA,NA,"00000220",NA,"1990-1999",59451459.2265625,41525.3225080966,-120.861003729078,36.9155336799833,NA
9768,1993,"CA","CCO Contract County","ORC","RANCHO MISSION 4","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",830.1099,NA,NA,NA,"00000000",NA,"1990-1999",4844932.8828125,10219.6724610087,-117.534315321382,33.5104119633817,NA
9769,1993,"CA","CDF CAL FIRE (State)","LNU","GERSTLE","00000975",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",766.053,NA,NA,NA,"00000299",NA,"1990-1999",5079762.34375,9552.82486910661,-123.314838692927,38.5747019998516,NA
9775,1993,"CA","CDF CAL FIRE (State)","SLU","PINE CREEK","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",659.2905,NA,NA,NA,"00000000",NA,"1990-1999",4003980.90625,12525.0387716873,-120.322275374199,35.1916726820458,NA
9779,1993,"CA","CCO Contract County","ORC","STAGECOACH","00036590",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",581.4684,NA,NA,NA,"00000000",NA,"1990-1999",3418617.89453125,10371.9945517839,-117.782022670563,33.8274806656198,NA
9780,1993,"CA","CDF CAL FIRE (State)","MMU","TABLE","00007222",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",573.0333,NA,NA,NA,"00000352",NA,"1990-1999",3650935.12109375,13115.9083054475,-119.635821289811,37.0877089469239,NA
9791,1993,"CA","CDF CAL FIRE (State)","RRU","VAIL","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",395.25,NA,NA,NA,"00000000",NA,"1990-1999",2305332.21484375,8348.14280362778,-117.042188144382,33.4811830777862,NA
9792,1993,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",392.221,NA,NA,NA,"00000000",NA,"1990-1999",2311287.52734375,8004.01027319446,-117.047665579596,33.9265241291808,NA
9793,1993,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",391.2682,NA,NA,NA,"00000000",NA,"1990-1999",2327371.70703125,8424.46676965399,-117.449230600863,34.3261582382175,NA
9809,1993,"CA","CDF CAL FIRE (State)","TUU","ELEPHANT","00005597",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",218.8506,NA,NA,NA,"00000000",NA,"1990-1999",1363544.1171875,4754.62734536339,-119.041082219601,36.2201331460137,NA
9816,1993,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",183.9002,NA,NA,NA,"00000000",NA,"1990-1999",1089602.47265625,4319.52021407373,-117.18969998254,34.1593638383752,NA
9829,1993,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",132.7072,NA,NA,NA,"00000000",NA,"1990-1999",778247.55859375,3600.63984448699,-116.764315767144,33.7178526512446,NA
9835,1993,"CA","CDF CAL FIRE (State)","RRU","PIGEON","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",97.29839,NA,NA,NA,"00000000",NA,"1990-1999",574301.96484375,3356.62412068889,-117.26977505456,33.9968622397549,NA
9836,1993,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",95.0717,NA,NA,NA,"00000000",NA,"1990-1999",560810.37109375,3273.41088293831,-117.190188987074,33.9702022321411,NA
9837,1993,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",93.48389,NA,NA,NA,"00000000",NA,"1990-1999",554501.01171875,3031.59589765511,-117.419073066364,34.2063836643429,NA
9841,1993,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",78.91579,NA,NA,NA,"00000000",NA,"1990-1999",462454.6484375,2578.58868453594,-116.913227809374,33.6861016918024,NA
