"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
9513,1995,"CA","DOD Department of Defense","AFV","SLC-6","00000717",1997-08-15 07:00:00,1997-08-15 07:00:00,"Miscellaneous","Other Imagery","Suppression (Wildfire)",2.177445,NA,NA,NA,"00000717",NA,"1990-1999",13030.51953125,543.010387379222,-120.624927225394,34.5806707329365,15.666650390625
8833,1997,"CA","NPS National Park Service","LNP","HUFFER WF",NA,NA,NA,"Lightning","Mixed Methods","Suppression (Wildfire)",1202.811,"PNF exceeded MMA",NA,NA,"97-18",NA,"1990-1999",8431662.80078125,34544.4901180993,-121.278763697026,40.517749426594,NA
8837,1997,"CA","NPS National Park Service","LNP","HUFFER PNF",NA,NA,NA,"Lightning","Mixed Methods","Resource Benefit (Wildland Fire Use)",1089.598,NA,NA,NA,"97-15",NA,"1990-1999",7636534.60546875,14093.8496558638,-121.284574166145,40.5110348558344,NA
8839,1997,"CA","CDF CAL FIRE (State)","MMU","MILE","00010039",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1058.822,NA,NA,NA,"00011580",NA,"1990-1999",6734190.41796875,13702.769414206,-119.768450934657,37.0205901985593,NA
8841,1997,"CA","CDF CAL FIRE (State)","MMU","DRY CREEK","00007988",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",959.8632,NA,NA,NA,"00011152",NA,"1990-1999",6194399.28515625,10833.6126243095,-120.403901633566,37.5732230177159,NA
8843,1997,"CA","CDF CAL FIRE (State)","TGU","PONDEROSA","00002891",NA,NA,"Arson",NA,"Suppression (Wildfire)",878.4354,NA,NA,NA,"00000233",NA,"1990-1999",6125470.6640625,15772.1305603717,-121.794738077248,40.3393126150577,NA
8853,1997,"CA","CDF CAL FIRE (State)","SCU","BLACK DIAMOND MI","00001689",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",475.3738,NA,NA,NA,"00000147",NA,"1990-1999",3099967.6796875,9603.40713059783,-121.873119443571,37.9623429455249,NA
8873,1997,"CA","DOD Department of Defense","CRB"," ","00000000",NA,NA,"Firefighter Training",NA,"Suppression (Wildfire)",317.9402,NA,NA,NA,"00000000",NA,"1990-1999",1959090.0390625,6267.17338036704,-120.746463482409,35.7793493912295,NA
8894,1997,"CA","CDF CAL FIRE (State)","SCU","BLACK DIAMOND ES","00001707",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",175.4741,NA,NA,NA,"00000150",NA,"1990-1999",1144172.8046875,5585.04325431007,-121.856764116872,37.9586558257262,NA
8902,1997,"CA","CDF CAL FIRE (State)","SCU","SITE 300","00003088",NA,NA,"Powerline",NA,"Suppression (Wildfire)",150.5226,NA,NA,NA,"00000363",NA,"1990-1999",973091.40234375,5108.89759112332,-121.517371808015,37.6390289800454,NA
